Applicant Id,Age,Gender,Marital Status,Annual Income,Loan Amount,Credit Score,No Of Dependent,Existing Loan,Employment Status,Loan Approved,Age Category,Income Category,Loan Approval Status,Loan to Value Ratio,LTV Category,Credit Band,Employment Type,Dependancy,Average Monthly EMI,Loan to Credit Ratio,LTC Category,Credit Age Ratio,Credit Age Category
238,53,Female,Single,"39,446.00","19,743.00",683,3,2,Un-Employed,0,Middle-Aged,Low Income,Rejected,50%,Controlled Exposure,Good, Other Income,High Dependency,789.72,28.91,Conservative-Low Risk,12.89,Moderate
239,60,Male,Married,"22,336.00","36,566.00",361,2,1,Un-Employed,0,Senior,Low Income,Rejected,164%,Critical Exposure,Poor, Other Income,Low Dependency,731.32,101.29,Aggressive-High Risk,6.02,New/Thin
240,59,Male,Married,"82,032.00","23,691.00",804,1,0,Employed,1,Middle-Aged,Average Income,Approved,29%,Low Exposure,Excellent,Employed,Low Dependency,473.82,29.47,Conservative-Low Risk,13.63,Moderate
241,38,Male,Married,"95,415.00","38,996.00",538,3,3,Self-Employed,0,Adult,Average Income,Rejected,41%,Controlled Exposure,Poor,Employed,High Dependency,2339.76,72.48,Aggressive-High Risk,14.16,Moderate
242,60,Male,Single,"1,17,852.00","10,590.00",494,0,4,Self-Employed,1,Senior,High Income,Approved,9%,Low Exposure,Poor,Employed,No DePendency,847.20,21.44,Conservative-Low Risk,8.23,New/Thin
243,21,Female,Divorced,"1,18,876.00","10,585.00",521,1,0,Employed,1,Youth,High Income,Approved,9%,Low Exposure,Poor,Employed,Low Dependency,211.70,20.32,Conservative-Low Risk,24.81,Long/Mature
244,31,Female,Single,"27,521.00","14,227.00",360,0,4,Un-Employed,0,Adult,Low Income,Rejected,52%,Controlled Exposure,Poor, Other Income,No DePendency,1138.16,39.52,Conservative-Low Risk,11.61,Moderate
245,48,Female,Married,"91,707.00","33,278.00",428,4,1,Employed,1,Middle-Aged,Average Income,Approved,36%,Low Exposure,Poor,Employed,High Dependency,665.56,77.75,Aggressive-High Risk,8.92,New/Thin
246,45,Male,Single,"43,481.00","43,814.00",455,2,1,Un-Employed,1,Middle-Aged,Low Income,Approved,101%,Critical Exposure,Poor, Other Income,Low Dependency,876.28,96.29,Aggressive-High Risk,10.11,Moderate
247,43,Female,Single,"38,474.00","17,237.00",677,4,0,Employed,1,Middle-Aged,Low Income,Approved,45%,Controlled Exposure,Good,Employed,High Dependency,344.74,25.46,Conservative-Low Risk,15.74,Moderate
248,51,Female,Divorced,"66,760.00","20,649.00",736,2,4,Un-Employed,1,Middle-Aged,Average Income,Approved,31%,Low Exposure,Good, Other Income,Low Dependency,1651.92,28.06,Conservative-Low Risk,14.43,Moderate
249,50,Female,Divorced,"75,718.00","42,713.00",506,3,1,Employed,1,Middle-Aged,Average Income,Approved,56%,Controlled Exposure,Poor,Employed,High Dependency,854.26,84.41,Aggressive-High Risk,10.12,Moderate
250,62,Male,Married,"64,629.00","12,927.00",687,1,3,Un-Employed,1,Senior,Average Income,Approved,20%,Low Exposure,Good, Other Income,Low Dependency,775.62,18.82,Conservative-Low Risk,11.08,Moderate
251,55,Male,Single,"65,232.00","12,016.00",779,3,2,Un-Employed,1,Middle-Aged,Average Income,Approved,18%,Low Exposure,Excellent, Other Income,High Dependency,480.64,15.42,Conservative-Low Risk,14.16,Moderate
252,27,Male,Single,"1,06,544.00","19,027.00",639,2,2,Un-Employed,1,Adult,High Income,Approved,18%,Low Exposure,Good, Other Income,Low Dependency,761.08,29.78,Conservative-Low Risk,23.67,Long/Mature
253,36,Female,Divorced,"87,169.00","29,142.00",639,2,1,Un-Employed,1,Adult,Average Income,Approved,33%,Low Exposure,Good, Other Income,Low Dependency,582.84,45.61,Conservative-Low Risk,17.75,Moderate
254,46,Female,Single,"1,47,941.00","28,545.00",503,2,4,Un-Employed,0,Middle-Aged,High Income,Rejected,19%,Low Exposure,Poor, Other Income,Low Dependency,2283.60,56.75,Aggressive-High Risk,10.93,Moderate
255,22,Female,Single,"70,669.00","36,897.00",460,0,1,Self-Employed,1,Youth,Average Income,Approved,52%,Controlled Exposure,Poor,Employed,No DePendency,737.94,80.21,Aggressive-High Risk,20.91,Long/Mature
256,21,Male,Single,"98,021.00","8,167.00",839,1,4,Un-Employed,1,Youth,Average Income,Approved,8%,Low Exposure,Excellent, Other Income,Low Dependency,653.36,9.73,Conservative-Low Risk,39.95,Long/Mature
257,32,Male,Divorced,"1,29,153.00","49,757.00",691,3,3,Self-Employed,1,Adult,High Income,Approved,39%,Low Exposure,Good,Employed,High Dependency,2985.42,72.01,Aggressive-High Risk,21.59,Long/Mature
258,25,Female,Married,"89,184.00","31,917.00",833,3,4,Un-Employed,0,Adult,Average Income,Rejected,36%,Low Exposure,Excellent, Other Income,High Dependency,2553.36,38.32,Conservative-Low Risk,33.32,Long/Mature
259,57,Male,Married,"67,945.00","27,736.00",369,4,1,Self-Employed,1,Middle-Aged,Average Income,Approved,41%,Controlled Exposure,Poor,Employed,High Dependency,554.72,75.17,Aggressive-High Risk,6.47,New/Thin
260,52,Male,Single,"33,140.00","32,990.00",704,2,3,Self-Employed,1,Middle-Aged,Low Income,Approved,100%,High Exposure,Good,Employed,Low Dependency,1979.40,46.86,Conservative-Low Risk,13.54,Moderate
261,29,Male,Married,"1,46,468.00","19,087.00",816,2,0,Employed,1,Adult,High Income,Approved,13%,Low Exposure,Excellent,Employed,Low Dependency,381.74,23.39,Conservative-Low Risk,28.14,Long/Mature
262,61,Male,Divorced,"1,03,457.00","27,440.00",419,2,2,Un-Employed,1,Senior,High Income,Approved,27%,Low Exposure,Poor, Other Income,Low Dependency,1097.60,65.49,Aggressive-High Risk,6.87,New/Thin
263,55,Female,Divorced,"34,357.00","40,205.00",516,3,1,Employed,0,Middle-Aged,Low Income,Rejected,117%,Critical Exposure,Poor,Employed,High Dependency,804.10,77.92,Aggressive-High Risk,9.38,New/Thin
264,39,Male,Married,"1,31,672.00","20,275.00",355,4,1,Employed,1,Adult,High Income,Approved,15%,Low Exposure,Poor,Employed,High Dependency,405.50,57.11,Aggressive-High Risk,9.10,New/Thin
265,36,Male,Married,"88,673.00","10,276.00",665,0,1,Un-Employed,1,Adult,Average Income,Approved,12%,Low Exposure,Good, Other Income,No DePendency,205.52,15.45,Conservative-Low Risk,18.47,Moderate
266,23,Male,Single,"1,41,673.00","46,627.00",803,1,3,Employed,1,Youth,High Income,Approved,33%,Low Exposure,Excellent,Employed,Low Dependency,2797.62,58.07,Aggressive-High Risk,34.91,Long/Mature
267,40,Male,Married,"85,633.00","45,586.00",754,0,0,Un-Employed,1,Middle-Aged,Average Income,Approved,53%,Controlled Exposure,Excellent, Other Income,No DePendency,911.72,60.46,Aggressive-High Risk,18.85,Moderate
268,44,Female,Single,"96,943.00","42,496.00",403,3,4,Employed,0,Middle-Aged,Average Income,Rejected,44%,Controlled Exposure,Poor,Employed,High Dependency,3399.68,105.45,Aggressive-High Risk,9.16,New/Thin
269,53,Female,Single,"1,16,111.00","24,008.00",376,2,0,Un-Employed,1,Middle-Aged,High Income,Approved,21%,Low Exposure,Poor, Other Income,Low Dependency,480.16,63.85,Aggressive-High Risk,7.09,New/Thin
270,44,Male,Divorced,"98,258.00","10,738.00",529,1,3,Un-Employed,0,Middle-Aged,Average Income,Rejected,11%,Low Exposure,Poor, Other Income,Low Dependency,644.28,20.30,Conservative-Low Risk,12.02,Moderate
271,31,Male,Divorced,"32,924.00","37,402.00",557,3,1,Un-Employed,0,Adult,Low Income,Rejected,114%,Critical Exposure,Poor, Other Income,High Dependency,748.04,67.15,Aggressive-High Risk,17.97,Moderate
272,28,Male,Divorced,"89,286.00","10,793.00",563,3,2,Self-Employed,1,Adult,Average Income,Approved,12%,Low Exposure,Poor,Employed,High Dependency,431.72,19.17,Conservative-Low Risk,20.11,Long/Mature
273,56,Male,Divorced,"1,13,269.00","42,291.00",630,3,1,Employed,1,Middle-Aged,High Income,Approved,37%,Low Exposure,Good,Employed,High Dependency,845.82,67.13,Aggressive-High Risk,11.25,Moderate
274,58,Male,Married,"1,47,563.00","10,571.00",481,1,4,Self-Employed,1,Middle-Aged,High Income,Approved,7%,Low Exposure,Poor,Employed,Low Dependency,845.68,21.98,Conservative-Low Risk,8.29,New/Thin
275,60,Male,Divorced,"94,071.00","36,331.00",849,1,2,Employed,1,Senior,Average Income,Approved,39%,Low Exposure,Excellent,Employed,Low Dependency,1453.24,42.79,Conservative-Low Risk,14.15,Moderate
276,40,Female,Married,"77,326.00","21,209.00",326,4,1,Employed,1,Middle-Aged,Average Income,Approved,27%,Low Exposure,Poor,Employed,High Dependency,424.18,65.06,Aggressive-High Risk,8.15,New/Thin
277,55,Male,Divorced,"1,10,023.00","30,394.00",575,4,2,Employed,1,Middle-Aged,High Income,Approved,28%,Low Exposure,Poor,Employed,High Dependency,1215.76,52.86,Aggressive-High Risk,10.45,Moderate
278,45,Female,Married,"1,40,101.00","48,148.00",598,0,0,Self-Employed,1,Middle-Aged,High Income,Approved,34%,Low Exposure,Poor,Employed,No DePendency,962.96,80.52,Aggressive-High Risk,13.29,Moderate
279,55,Female,Single,"50,651.00","30,682.00",390,1,3,Employed,1,Middle-Aged,Average Income,Approved,61%,High Exposure,Poor,Employed,Low Dependency,1840.92,78.67,Aggressive-High Risk,7.09,New/Thin
280,45,Male,Married,"90,202.00","7,224.00",779,1,1,Self-Employed,1,Middle-Aged,Average Income,Approved,8%,Low Exposure,Excellent,Employed,Low Dependency,144.48,9.27,Conservative-Low Risk,17.31,Moderate
281,49,Female,Married,"68,777.00","46,157.00",757,1,4,Un-Employed,1,Middle-Aged,Average Income,Approved,67%,High Exposure,Excellent, Other Income,Low Dependency,3692.56,60.97,Aggressive-High Risk,15.45,Moderate
282,38,Female,Divorced,"36,994.00","49,452.00",750,4,0,Employed,1,Adult,Low Income,Approved,134%,Critical Exposure,Excellent,Employed,High Dependency,989.04,65.94,Aggressive-High Risk,19.74,Moderate
283,38,Female,Married,"87,263.00","48,408.00",664,3,1,Employed,1,Adult,Average Income,Approved,55%,Controlled Exposure,Good,Employed,High Dependency,968.16,72.90,Aggressive-High Risk,17.47,Moderate
284,22,Female,Single,"79,634.00","37,441.00",650,2,0,Un-Employed,1,Youth,Average Income,Approved,47%,Controlled Exposure,Good, Other Income,Low Dependency,748.82,57.60,Aggressive-High Risk,29.55,Long/Mature
285,55,Female,Single,"1,20,158.00","46,430.00",699,4,4,Un-Employed,0,Middle-Aged,High Income,Rejected,39%,Low Exposure,Good, Other Income,High Dependency,3714.40,66.42,Aggressive-High Risk,12.71,Moderate
286,36,Female,Divorced,"30,800.00","44,129.00",552,1,1,Employed,1,Adult,Low Income,Approved,143%,Critical Exposure,Poor,Employed,Low Dependency,882.58,79.94,Aggressive-High Risk,15.33,Moderate
287,61,Male,Single,"57,823.00","39,716.00",758,4,4,Un-Employed,0,Senior,Average Income,Rejected,69%,High Exposure,Excellent, Other Income,High Dependency,3177.28,52.40,Aggressive-High Risk,12.43,Moderate
288,56,Female,Married,"1,28,575.00","49,859.00",798,0,2,Self-Employed,1,Middle-Aged,High Income,Approved,39%,Low Exposure,Excellent,Employed,No DePendency,1994.36,62.48,Aggressive-High Risk,14.25,Moderate
289,53,Female,Single,"83,878.00","31,586.00",807,1,4,Self-Employed,1,Middle-Aged,Average Income,Approved,38%,Low Exposure,Excellent,Employed,Low Dependency,2526.88,39.14,Conservative-Low Risk,15.23,Moderate
290,24,Female,Divorced,"38,708.00","49,760.00",603,0,2,Employed,1,Youth,Low Income,Approved,129%,Critical Exposure,Good,Employed,No DePendency,1990.40,82.52,Aggressive-High Risk,25.13,Long/Mature
291,53,Male,Married,"32,819.00","28,478.00",800,1,1,Self-Employed,1,Middle-Aged,Low Income,Approved,87%,High Exposure,Excellent,Employed,Low Dependency,569.56,35.60,Conservative-Low Risk,15.09,Moderate
292,34,Female,Divorced,"94,905.00","11,318.00",465,4,2,Self-Employed,1,Adult,Average Income,Approved,12%,Low Exposure,Poor,Employed,High Dependency,452.72,24.34,Conservative-Low Risk,13.68,Moderate
293,41,Male,Married,"83,870.00","33,694.00",714,3,1,Employed,1,Middle-Aged,Average Income,Approved,40%,Controlled Exposure,Good,Employed,High Dependency,673.88,47.19,Conservative-Low Risk,17.41,Moderate
294,40,Female,Single,"29,283.00","25,180.00",761,2,1,Un-Employed,1,Middle-Aged,Low Income,Approved,86%,High Exposure,Excellent, Other Income,Low Dependency,503.60,33.09,Conservative-Low Risk,19.03,Moderate
295,28,Male,Divorced,"50,573.00","17,180.00",413,0,3,Employed,1,Adult,Average Income,Approved,34%,Low Exposure,Poor,Employed,No DePendency,1030.80,41.60,Conservative-Low Risk,14.75,Moderate
296,27,Male,Divorced,"98,707.00","38,002.00",732,4,1,Self-Employed,1,Adult,Average Income,Approved,38%,Low Exposure,Good,Employed,High Dependency,760.04,51.92,Aggressive-High Risk,27.11,Long/Mature
297,23,Female,Married,"50,933.00","20,372.00",655,3,2,Employed,1,Youth,Average Income,Approved,40%,Low Exposure,Good,Employed,High Dependency,814.88,31.10,Conservative-Low Risk,28.48,Long/Mature
298,37,Female,Divorced,"25,774.00","34,796.00",506,4,3,Employed,0,Adult,Low Income,Rejected,135%,Critical Exposure,Poor,Employed,High Dependency,2087.76,68.77,Aggressive-High Risk,13.68,Moderate
299,53,Male,Married,"92,055.00","29,427.00",534,0,3,Self-Employed,1,Middle-Aged,Average Income,Approved,32%,Low Exposure,Poor,Employed,No DePendency,1765.62,55.11,Aggressive-High Risk,10.08,Moderate
300,32,Female,Married,"30,983.00","38,290.00",741,2,1,Self-Employed,1,Adult,Low Income,Approved,124%,Critical Exposure,Good,Employed,Low Dependency,765.80,51.67,Aggressive-High Risk,23.16,Long/Mature
301,42,Male,Married,"1,16,468.00","33,099.00",654,4,4,Employed,1,Middle-Aged,High Income,Approved,28%,Low Exposure,Good,Employed,High Dependency,2647.92,50.61,Aggressive-High Risk,15.57,Moderate
302,42,Male,Married,"1,16,334.00","14,821.00",814,1,4,Self-Employed,1,Middle-Aged,High Income,Approved,13%,Low Exposure,Excellent,Employed,Low Dependency,1185.68,18.21,Conservative-Low Risk,19.38,Moderate
303,50,Male,Single,"38,133.00","10,832.00",507,3,3,Self-Employed,0,Middle-Aged,Low Income,Rejected,28%,Low Exposure,Poor,Employed,High Dependency,649.92,21.36,Conservative-Low Risk,10.14,Moderate
304,58,Male,Married,"1,45,555.00","17,820.00",424,4,1,Self-Employed,1,Middle-Aged,High Income,Approved,12%,Low Exposure,Poor,Employed,High Dependency,356.40,42.03,Conservative-Low Risk,7.31,New/Thin
305,58,Male,Divorced,"34,939.00","21,211.00",437,3,4,Self-Employed,0,Middle-Aged,Low Income,Rejected,61%,High Exposure,Poor,Employed,High Dependency,1696.88,48.54,Conservative-Low Risk,7.53,New/Thin
306,28,Female,Single,"20,781.00","44,890.00",638,1,1,Self-Employed,1,Adult,Low Income,Approved,216%,Critical Exposure,Good,Employed,Low Dependency,897.80,70.36,Aggressive-High Risk,22.79,Long/Mature
307,47,Male,Divorced,"1,34,586.00","10,842.00",836,2,1,Self-Employed,1,Middle-Aged,High Income,Approved,8%,Low Exposure,Excellent,Employed,Low Dependency,216.84,12.97,Conservative-Low Risk,17.79,Moderate
308,47,Male,Single,"76,700.00","6,316.00",367,2,3,Un-Employed,0,Middle-Aged,Average Income,Rejected,8%,Low Exposure,Poor, Other Income,Low Dependency,378.96,17.21,Conservative-Low Risk,7.81,New/Thin
309,54,Female,Married,"47,624.00","22,508.00",840,1,3,Employed,1,Middle-Aged,Low Income,Approved,47%,Controlled Exposure,Excellent,Employed,Low Dependency,1350.48,26.80,Conservative-Low Risk,15.56,Moderate
310,41,Male,Single,"26,823.00","27,005.00",682,3,0,Self-Employed,1,Middle-Aged,Low Income,Approved,101%,Critical Exposure,Good,Employed,High Dependency,540.10,39.60,Conservative-Low Risk,16.63,Moderate
311,50,Female,Single,"38,489.00","20,206.00",318,4,4,Employed,0,Middle-Aged,Low Income,Rejected,52%,Controlled Exposure,Poor,Employed,High Dependency,1616.48,63.54,Aggressive-High Risk,6.36,New/Thin
312,53,Female,Divorced,"1,38,555.00","23,971.00",749,1,4,Un-Employed,1,Middle-Aged,High Income,Approved,17%,Low Exposure,Excellent, Other Income,Low Dependency,1917.68,32.00,Conservative-Low Risk,14.13,Moderate
313,48,Female,Divorced,"59,961.00","30,599.00",373,0,4,Self-Employed,1,Middle-Aged,Average Income,Approved,51%,Controlled Exposure,Poor,Employed,No DePendency,2447.92,82.03,Aggressive-High Risk,7.77,New/Thin
314,53,Male,Married,"1,39,664.00","27,056.00",575,3,2,Employed,1,Middle-Aged,High Income,Approved,19%,Low Exposure,Poor,Employed,High Dependency,1082.24,47.05,Conservative-Low Risk,10.85,Moderate
315,25,Male,Single,"49,118.00","6,378.00",347,2,1,Self-Employed,1,Adult,Low Income,Approved,13%,Low Exposure,Poor,Employed,Low Dependency,127.56,18.38,Conservative-Low Risk,13.88,Moderate
316,39,Male,Single,"1,20,417.00","6,519.00",510,1,3,Self-Employed,1,Adult,High Income,Approved,5%,Low Exposure,Poor,Employed,Low Dependency,391.14,12.78,Conservative-Low Risk,13.08,Moderate
317,24,Female,Single,"1,01,816.00","27,161.00",839,2,4,Self-Employed,1,Youth,High Income,Approved,27%,Low Exposure,Excellent,Employed,Low Dependency,2172.88,32.37,Conservative-Low Risk,34.96,Long/Mature
318,55,Male,Married,"42,263.00","45,703.00",490,3,0,Self-Employed,1,Middle-Aged,Low Income,Approved,108%,Critical Exposure,Poor,Employed,High Dependency,914.06,93.27,Aggressive-High Risk,8.91,New/Thin
319,37,Female,Married,"33,565.00","43,861.00",614,2,4,Self-Employed,1,Adult,Low Income,Approved,131%,Critical Exposure,Good,Employed,Low Dependency,3508.88,71.43,Aggressive-High Risk,16.59,Moderate
320,64,Male,Married,"40,354.00","10,355.00",412,1,1,Self-Employed,1,Senior,Low Income,Approved,26%,Low Exposure,Poor,Employed,Low Dependency,207.10,25.13,Conservative-Low Risk,6.44,New/Thin
321,48,Female,Married,"62,951.00","14,083.00",469,3,1,Self-Employed,1,Middle-Aged,Average Income,Approved,22%,Low Exposure,Poor,Employed,High Dependency,281.66,30.03,Conservative-Low Risk,9.77,New/Thin
322,50,Male,Married,"1,11,179.00","43,342.00",767,0,3,Un-Employed,1,Middle-Aged,High Income,Approved,39%,Low Exposure,Excellent, Other Income,No DePendency,2600.52,56.51,Aggressive-High Risk,15.34,Moderate
323,49,Male,Divorced,"43,648.00","25,456.00",313,1,2,Un-Employed,1,Middle-Aged,Low Income,Approved,58%,Controlled Exposure,Poor, Other Income,Low Dependency,1018.24,81.33,Aggressive-High Risk,6.39,New/Thin
324,26,Male,Single,"70,729.00","18,324.00",587,4,3,Self-Employed,0,Adult,Average Income,Rejected,26%,Low Exposure,Poor,Employed,High Dependency,1099.44,31.22,Conservative-Low Risk,22.58,Long/Mature
325,55,Female,Single,"61,971.00","7,257.00",488,1,4,Self-Employed,1,Middle-Aged,Average Income,Approved,12%,Low Exposure,Poor,Employed,Low Dependency,580.56,14.87,Conservative-Low Risk,8.87,New/Thin
326,61,Female,Single,"38,658.00","32,364.00",454,3,0,Un-Employed,0,Senior,Low Income,Rejected,84%,High Exposure,Poor, Other Income,High Dependency,647.28,71.29,Aggressive-High Risk,7.44,New/Thin
327,57,Male,Single,"41,253.00","29,972.00",770,1,3,Un-Employed,1,Middle-Aged,Low Income,Approved,73%,High Exposure,Excellent, Other Income,Low Dependency,1798.32,38.92,Conservative-Low Risk,13.51,Moderate
328,44,Male,Single,"84,166.00","31,654.00",374,0,2,Un-Employed,1,Middle-Aged,Average Income,Approved,38%,Low Exposure,Poor, Other Income,No DePendency,1266.16,84.64,Aggressive-High Risk,8.50,New/Thin
329,49,Female,Single,"68,563.00","20,233.00",576,0,3,Self-Employed,1,Middle-Aged,Average Income,Approved,30%,Low Exposure,Poor,Employed,No DePendency,1213.98,35.13,Conservative-Low Risk,11.76,Moderate
330,51,Female,Single,"46,390.00","20,887.00",642,4,1,Employed,1,Middle-Aged,Low Income,Approved,45%,Controlled Exposure,Good,Employed,High Dependency,417.74,32.53,Conservative-Low Risk,12.59,Moderate
331,55,Female,Single,"1,08,664.00","34,320.00",724,2,4,Employed,1,Middle-Aged,High Income,Approved,32%,Low Exposure,Good,Employed,Low Dependency,2745.60,47.40,Conservative-Low Risk,13.16,Moderate
332,53,Male,Divorced,"71,578.00","25,808.00",810,3,4,Employed,1,Middle-Aged,Average Income,Approved,36%,Low Exposure,Excellent,Employed,High Dependency,2064.64,31.86,Conservative-Low Risk,15.28,Moderate
333,41,Female,Single,"99,025.00","35,154.00",481,3,4,Employed,0,Middle-Aged,Average Income,Rejected,36%,Low Exposure,Poor,Employed,High Dependency,2812.32,73.09,Aggressive-High Risk,11.73,Moderate
334,52,Male,Divorced,"1,23,850.00","39,773.00",757,2,4,Self-Employed,1,Middle-Aged,High Income,Approved,32%,Low Exposure,Excellent,Employed,Low Dependency,3181.84,52.54,Aggressive-High Risk,14.56,Moderate
335,43,Female,Married,"52,658.00","32,747.00",363,0,4,Employed,1,Middle-Aged,Average Income,Approved,62%,High Exposure,Poor,Employed,No DePendency,2619.76,90.21,Aggressive-High Risk,8.44,New/Thin
336,53,Male,Single,"26,852.00","15,860.00",559,0,4,Un-Employed,0,Middle-Aged,Low Income,Rejected,59%,Controlled Exposure,Poor, Other Income,No DePendency,1268.80,28.37,Conservative-Low Risk,10.55,Moderate
337,23,Female,Married,"1,47,282.00","47,838.00",492,1,0,Un-Employed,1,Youth,High Income,Approved,32%,Low Exposure,Poor, Other Income,Low Dependency,956.76,97.23,Aggressive-High Risk,21.39,Long/Mature
338,38,Female,Married,"1,14,986.00","47,156.00",705,4,2,Employed,1,Adult,High Income,Approved,41%,Controlled Exposure,Good,Employed,High Dependency,1886.24,66.89,Aggressive-High Risk,18.55,Moderate
339,45,Female,Married,"22,551.00","23,156.00",392,4,4,Un-Employed,0,Middle-Aged,Low Income,Rejected,103%,Critical Exposure,Poor, Other Income,High Dependency,1852.48,59.07,Aggressive-High Risk,8.71,New/Thin
340,62,Female,Divorced,"91,947.00","25,360.00",729,4,2,Self-Employed,1,Senior,Average Income,Approved,28%,Low Exposure,Good,Employed,High Dependency,1014.40,34.79,Conservative-Low Risk,11.76,Moderate
341,51,Female,Married,"81,001.00","23,135.00",733,1,4,Employed,1,Middle-Aged,Average Income,Approved,29%,Low Exposure,Good,Employed,Low Dependency,1850.80,31.56,Conservative-Low Risk,14.37,Moderate
342,23,Male,Married,"69,159.00","30,351.00",703,4,3,Employed,1,Youth,Average Income,Approved,44%,Controlled Exposure,Good,Employed,High Dependency,1821.06,43.17,Conservative-Low Risk,30.57,Long/Mature
343,60,Female,Married,"1,42,775.00","35,499.00",733,2,4,Self-Employed,1,Senior,High Income,Approved,25%,Low Exposure,Good,Employed,Low Dependency,2839.92,48.43,Conservative-Low Risk,12.22,Moderate
344,44,Female,Single,"71,707.00","28,554.00",411,1,1,Un-Employed,1,Middle-Aged,Average Income,Approved,40%,Low Exposure,Poor, Other Income,Low Dependency,571.08,69.47,Aggressive-High Risk,9.34,New/Thin
345,52,Female,Single,"53,243.00","24,604.00",674,2,0,Self-Employed,1,Middle-Aged,Average Income,Approved,46%,Controlled Exposure,Good,Employed,Low Dependency,492.08,36.50,Conservative-Low Risk,12.96,Moderate
346,42,Male,Divorced,"41,800.00","21,923.00",358,1,3,Self-Employed,1,Middle-Aged,Low Income,Approved,52%,Controlled Exposure,Poor,Employed,Low Dependency,1315.38,61.24,Aggressive-High Risk,8.52,New/Thin
347,43,Female,Divorced,"95,939.00","13,547.00",342,4,3,Un-Employed,0,Middle-Aged,Average Income,Rejected,14%,Low Exposure,Poor, Other Income,High Dependency,812.82,39.61,Conservative-Low Risk,7.95,New/Thin
348,22,Male,Single,"77,828.00","49,283.00",506,2,1,Self-Employed,1,Youth,Average Income,Approved,63%,High Exposure,Poor,Employed,Low Dependency,985.66,97.40,Aggressive-High Risk,23.00,Long/Mature
349,47,Female,Divorced,"27,239.00","38,002.00",595,2,4,Un-Employed,0,Middle-Aged,Low Income,Rejected,140%,Critical Exposure,Poor, Other Income,Low Dependency,3040.16,63.87,Aggressive-High Risk,12.66,Moderate
350,62,Female,Single,"26,710.00","19,562.00",417,2,0,Un-Employed,0,Senior,Low Income,Rejected,73%,High Exposure,Poor, Other Income,Low Dependency,391.24,46.91,Conservative-Low Risk,6.73,New/Thin
351,22,Male,Married,"41,384.00","12,480.00",831,1,3,Self-Employed,1,Youth,Low Income,Approved,30%,Low Exposure,Excellent,Employed,Low Dependency,748.80,15.02,Conservative-Low Risk,37.77,Long/Mature
352,46,Female,Married,"41,038.00","31,672.00",521,3,0,Un-Employed,0,Middle-Aged,Low Income,Rejected,77%,High Exposure,Poor, Other Income,High Dependency,633.44,60.79,Aggressive-High Risk,11.33,Moderate
353,37,Male,Divorced,"60,846.00","9,213.00",465,4,3,Self-Employed,0,Adult,Average Income,Rejected,15%,Low Exposure,Poor,Employed,High Dependency,552.78,19.81,Conservative-Low Risk,12.57,Moderate
354,60,Male,Single,"1,07,983.00","15,293.00",455,2,4,Un-Employed,0,Senior,High Income,Rejected,14%,Low Exposure,Poor, Other Income,Low Dependency,1223.44,33.61,Conservative-Low Risk,7.58,New/Thin
355,53,Female,Single,"87,821.00","39,441.00",483,3,3,Employed,0,Middle-Aged,Average Income,Rejected,45%,Controlled Exposure,Poor,Employed,High Dependency,2366.46,81.66,Aggressive-High Risk,9.11,New/Thin
356,29,Male,Divorced,"57,991.00","7,100.00",389,4,3,Un-Employed,0,Adult,Average Income,Rejected,12%,Low Exposure,Poor, Other Income,High Dependency,426.00,18.25,Conservative-Low Risk,13.41,Moderate
357,63,Female,Single,"99,057.00","49,617.00",393,4,2,Un-Employed,0,Senior,Average Income,Rejected,50%,Controlled Exposure,Poor, Other Income,High Dependency,1984.68,126.25,Aggressive-High Risk,6.24,New/Thin
358,59,Female,Married,"1,33,193.00","33,172.00",312,2,4,Self-Employed,1,Middle-Aged,High Income,Approved,25%,Low Exposure,Poor,Employed,Low Dependency,2653.76,106.32,Aggressive-High Risk,5.29,New/Thin
359,49,Male,Divorced,"26,971.00","25,132.00",737,2,1,Un-Employed,1,Middle-Aged,Low Income,Approved,93%,High Exposure,Good, Other Income,Low Dependency,502.64,34.10,Conservative-Low Risk,15.04,Moderate
360,62,Male,Divorced,"49,139.00","23,199.00",837,1,1,Employed,1,Senior,Low Income,Approved,47%,Controlled Exposure,Excellent,Employed,Low Dependency,463.98,27.72,Conservative-Low Risk,13.50,Moderate
361,46,Male,Single,"1,05,445.00","41,609.00",449,3,4,Employed,0,Middle-Aged,High Income,Rejected,39%,Low Exposure,Poor,Employed,High Dependency,3328.72,92.67,Aggressive-High Risk,9.76,New/Thin
362,55,Male,Divorced,"97,067.00","47,965.00",307,3,1,Un-Employed,0,Middle-Aged,Average Income,Rejected,49%,Controlled Exposure,Poor, Other Income,High Dependency,959.30,156.24,Aggressive-High Risk,5.58,New/Thin
363,45,Female,Single,"1,00,257.00","13,016.00",328,2,4,Un-Employed,0,Middle-Aged,High Income,Rejected,13%,Low Exposure,Poor, Other Income,Low Dependency,1041.28,39.68,Conservative-Low Risk,7.29,New/Thin
364,44,Female,Single,"1,04,742.00","44,779.00",595,4,1,Employed,1,Middle-Aged,High Income,Approved,43%,Controlled Exposure,Poor,Employed,High Dependency,895.58,75.26,Aggressive-High Risk,13.52,Moderate
365,33,Male,Single,"57,711.00","42,261.00",639,2,2,Self-Employed,1,Adult,Average Income,Approved,73%,High Exposure,Good,Employed,Low Dependency,1690.44,66.14,Aggressive-High Risk,19.36,Moderate
